price,area_m2,bedrooms,bathrooms,parking,price/m2,neighborhood
530000,105,3,3,2,5047.62,JOSE BONIFACIO
750000,157,3,1,3,4777.07,ALDEOTA
299000,62,2,2,1,4822.58,VICENTE PINZON
440000,84,3,3,2,5238.1,PARQUELANDIA
499000,89,3,3,2,5606.74,MEIRELES
315000,127,3,3,1,2480.31,BENFICA
245338,65,3,2,2,3774.43,PASSARE
250000,68,3,1,1,3676.47,CIDADE DOS FUNCIONARIOS
220360,58,3,2,2,3799.31,PASSARE
520000,71,2,2,2,7323.94,PATRIOLINO RIBEIRO
420000,74,3,3,2,5675.68,ENG LUCIANO CAVALCANTE
499999,160,4,4,2,3124.99,MEIRELES
595000,96,3,1,2,6197.92,FATIMA
310000,55,2,1,2,5636.36,CENTRO
750000,110,3,4,2,6818.18,MEIRELES
329999,91,3,3,2,3626.36,COCO
473000,70,3,2,2,6757.14,ENG LUCIANO CAVALCANTE
380000,119,3,3,2,3193.28,PAPICU
329999,70,2,2,1,4714.27,PARQUE IRACEMA
479999,135,4,4,2,3555.55,DIONISIO TORRES
499000,77,3,2,2,6480.52,PATRIOLINO RIBEIRO
240000,133,3,4,2,1804.51,VICENTE PINZON
350000,101,3,1,1,3465.35,VARJOTA
719999,133,4,4,3,5413.53,MEIRELES
285000,68,3,3,2,4191.18,PAPICU
350000,62,2,2,2,5645.16,MANUEL DIAS BRANCO
350000,62,2,2,2,5645.16,VICENTE PINZON
570000,80,3,2,2,7125.0,COCO
549999,150,4,4,2,3666.66,DIONISIO TORRES
692000,81,3,2,2,8543.21,PRAIA DE IRACEMA
221762,48,2,2,2,4620.04,PASSARE
295000,71,3,2,2,4154.93,PASSARE
240000,61,3,2,2,3934.43,CAJAZEIRAS
349999,120,4,3,2,2916.66,VARJOTA
708000,95,3,4,2,7452.63,MESSEJANA
450000,138,3,1,2,3260.87,MUCURIPE
220000,88,3,3,1,2500.0,PAPICU
836898,111,3,3,3,7539.62,ALDEOTA
250000,61,3,3,1,4098.36,CAJAZEIRAS
349999,80,3,3,1,4374.99,MEIRELES
650000,78,2,2,2,8333.33,COCO
590453,90,4,3,2,6560.59,PARQUE IRACEMA
445000,123,3,4,2,3617.89,ALDEOTA
189000,111,3,3,2,1702.7,PAPICU
330000,72,3,3,2,4583.33,ENG LUCIANO CAVALCANTE
295000,65,3,2,2,4538.46,MESSEJANA
535000,70,3,2,2,7642.86,ENG LUCIANO CAVALCANTE
730000,126,3,1,2,5793.65,COCO
490000,124,3,4,2,3951.61,ENG LUCIANO CAVALCANTE
520000,145,4,3,2,3586.21,PATRIOLINO RIBEIRO
270000,115,3,1,1,2347.83,ALDEOTA
590000,120,3,4,2,4916.67,CIDADE DOS FUNCIONARIOS
649000,93,3,4,2,6978.49,DIONISIO TORRES
660000,124,3,4,3,5322.58,COCO
695500,79,3,3,2,8803.8,ALDEOTA
550000,142,4,4,2,3873.24,ALDEOTA
229999,57,2,1,1,4035.07,CAMBEBA
499000,75,3,3,2,6653.33,JOAQUIM TAVORA
220000,63,3,2,2,3492.06,MARAPONGA
679999,125,4,3,2,5439.99,DIONISIO TORRES
520000,80,3,1,2,6500.0,EDSON QUEIROZ
359000,64,2,2,2,5609.38,CAMBEBA
332456,62,3,2,2,5362.19,PARANGABA
550000,97,3,4,2,5670.1,MANUEL DIAS BRANCO
500000,112,3,4,2,4464.29,JOSE BONIFACIO
589999,166,4,4,2,3554.21,PAPICU
350000,65,3,2,1,5384.62,MESSEJANA
278027,58,3,1,2,4793.57,PASSARE
700000,106,3,3,2,6603.77,VARJOTA
700000,97,3,4,2,7216.49,DE LOURDES
380000,133,3,4,2,2857.14,COCO
584000,71,3,2,2,8225.35,PATRIOLINO RIBEIRO
350000,120,3,3,1,2916.67,MEIRELES
350000,92,3,3,1,3804.35,FATIMA
570000,95,3,4,2,6000.0,PARQUE IRACEMA
340000,57,2,2,2,5964.91,PARQUE IRACEMA
385000,91,3,3,2,4230.77,COCO
430000,108,3,3,2,3981.48,COCO
650000,105,3,4,2,6190.48,CAMBEBA
200000,81,2,2,1,2469.14,MONTESE
340000,72,3,3,2,4722.22,PATRIOLINO RIBEIRO
440000,71,3,2,2,6197.18,ENG LUCIANO CAVALCANTE
350000,60,2,2,2,5833.33,ALDEOTA
420000,90,3,1,2,4666.67,COCO
200000,102,3,1,1,1960.78,DAMAS
700000,84,3,3,2,8333.33,ALDEOTA
